BV2022,Bassin de vie,salair_moy,tx_pauvrete
33063,Bordeaux,16.74,13.2
33081,Cadillac-sur-Garonne,14.15,12.6
33104,Castelnau-de-Médoc,15.02,8
33108,Castillon-la-Bataille,13.7,19.7
33114,Cavignac,13.86,13.7
33138,Coutras,13.03,18.1
33140,Créon,15.14,9
33203,Hourtin,13.98,12
33213,La Brède,17.51,5
33214,Lacanau,16.22,10.7
33226,Langoiran,14.72,10.6
33227,Langon,14.2,13
33236,Lège-Cap-Ferret,17.31,9.6
33240,Lesparre-Médoc,12.95,16.1
33243,Libourne,14.92,13.1
33314,Pauillac,13.5,13.4
33327,Podensac,15.03,7.8
33352,La Réole,13.31,20.7
33366,Saint-André-de-Cubzac,14.59,11.3
33402,Sainte-Foy-la-Grande,13.29,20.9
33478,Saint-Seurin-sur-l'Isle,12.78,17.1
33498,Salles,15.78,6.1
33506,Sauveterre-de-Guyenne,13.14,17.2
33514,Soulac-sur-Mer,12.98,15.9
33529,La Teste-de-Buch,15.78,9.9
34003,Agde,13.33,21.9
34022,Baillargues,17.78,9.6
34028,Bédarieux,12.87,22.7
34031,Bessan,13.42,17.2
34032,Béziers,13.42,26.7
34052,Capestang,13.51,18.5
34058,Castries,18.36,7.1
34079,Clermont-l'Hérault,14.13,18.2
34111,Ganges,14.41,18
34114,Gignac,14.73,15.4
34126,Lamalou-les-Bains,13.29,21.1
34142,Lodève,13.14,24.2
34145,Lunel,14.45,18.1
34147,Magalas,13.77,14.9
34150,Marseillan,13.19,20
34154,Mauguio,16.78,10.7
34157,Mèze,14.44,16.2
34162,Montagnac,13.77,26.5
34172,Montpellier,15.96,19.8
34189,Olonzac,12.6,23.9
34192,Palavas-les-Flots,15.1,16.2
34194,Paulhan,13.84,15.9
34199,Pézenas,13.8,19.5
34202,Pignan,15.64,11.5
34239,Saint-André-de-Sangonis,14.72,14.8
34245,Saint-Chinian,13.94,21.5
34276,Saint-Mathieu-de-Tréviers,17.06,8.4
34284,Saint-Pons-de-Thomières,12.36,29.5
34299,Sérignan,14.01,16.1
34300,Servian,13.47,15.7
34301,Sète,14.44,18.5
34332,Vias,12.97,22.6
35006,Argentré-du-Plessis,14.32,6.5
35012,Bain-de-Bretagne,13.94,8.8
35037,Bréal-sous-Montfort,15,6.3
35068,Châteaubourg,15.32,5
35069,Châteaugiron,17.34,5
35085,Combourg,14.1,11.2
35093,Dinard,16.01,9.7
35095,Dol-de-Bretagne,13.18,10.2
35115,Fougères,13.46,11.2
35125,La Guerche-de-Bretagne,13.21,9.7
35126,Guichen,15.07,5.9
35136,Janzé,14.77,7.2
35152,Liffré,16.06,5.5
35162,Louvigné-du-Désert,12.28,14.5
35168,Val d'Anast,13.38,10.1
35176,Guipry-Messac,13.28,9.5
35177,La Mézière,16.69,5.9
35184,Montauban-de-Bretagne,14.23,7.7
35188,Montfort-sur-Meu,14.85,6.3
35196,Mordelles,15.32,7.6
35207,Noyal-sur-Vilaine,16.64,5.8
35219,Pipriac,13.03,10.5
35223,Plélan-le-Grand,14.21,9.4
35236,Redon,13.65,13.2
35238,Rennes,16.61,14.9
35239,Retiers,13.62,10.1
35240,Le Rheu,15.43,10.1
35251,Saint-Aubin-d'Aubigné,14.97,6.7
35253,Saint-Aubin-du-Cormier,14.65,6.2
35257,Maen Roch,13.19,11.2
35288,Saint-Malo,15.18,10.7
35297,Saint-Méen-le-Grand,13.26,11.4
35337,Tinténiac,14.85,8
35352,Vern-sur-Seiche,16.47,7.7
35360,Vitré,14.21,8.6
36001,Aigurande,12.19,21.2
36006,Argenton-sur-Creuse,13,17.1
36018,Le Blanc,12.46,15.6
36031,Buzançais,12.5,12.9
36044,Châteauroux,13.74,16.2
36045,Châtillon-sur-Indre,12.06,15.5
36046,La Châtre,12.99,16.4
36088,Issoudun,13.85,13.1
36093,Levroux,12.94,11.1
36228,Valençay,12.38,14.3
37003,Amboise,14.82,11.5
37011,Avoine,15.73,10.4
37014,Azay-le-Rideau,15.01,7.6
37027,Bléré,15.08,6.8
37031,Bourgueil,15.63,13.4
37062,Château-la-Vallière,13.04,12
37063,Château-Renault,13.85,11.2
37072,Chinon,14.42,14.5
37104,Esvres,15.34,5.9
37115,Descartes,13.31,18
37119,L'Île-Bouchard,13.37,12.6
37123,Langeais,14.27,10.6
